cum_pct_members,cum_pct_spend
0.0,0.0
0.5,12.963
1.0,20.094
1.5,25.67
2.0,30.312
2.5,34.297
3.0,37.827
3.5,40.929
4.0,43.737
4.5,46.301
5.0,48.666
5.5,50.845
6.0,52.884
6.5,54.799
7.0,56.58
7.5,58.245
8.0,59.807
8.5,61.277
9.0,62.662
9.5,63.974
10.0,65.23
10.5,66.429
11.0,67.58
11.5,68.675
12.0,69.715
12.5,70.705
13.0,71.652
13.5,72.56
14.0,73.424
14.5,74.254
15.0,75.053
15.5,75.82
16.0,76.554
16.5,77.259
17.0,77.936
17.5,78.591
18.0,79.222
18.5,79.832
19.0,80.419
19.5,80.989
20.0,81.54
20.5,82.073
21.0,82.586
21.5,83.083
22.0,83.565
22.5,84.031
23.0,84.485
23.5,84.924
24.0,85.351
24.5,85.765
25.0,86.167
25.5,86.561
26.0,86.944
26.5,87.317
27.0,87.68
27.5,88.032
28.0,88.371
28.5,88.702
29.0,89.023
29.5,89.335
30.0,89.639
30.5,89.933
31.0,90.219
31.5,90.498
32.0,90.771
32.5,91.038
33.0,91.299
33.5,91.554
34.0,91.802
34.5,92.042
35.0,92.276
35.5,92.504
36.0,92.727
36.5,92.946
37.0,93.159
37.5,93.366
38.0,93.567
38.5,93.763
39.0,93.954
39.5,94.139
40.0,94.32
40.5,94.496
41.0,94.668
41.5,94.837
42.0,95.0
42.5,95.159
43.0,95.314
43.5,95.465
44.0,95.613
44.5,95.757
45.0,95.897
45.5,96.034
46.0,96.166
46.5,96.295
47.0,96.421
47.5,96.544
48.0,96.663
48.5,96.779
49.0,96.892
49.5,97.002
50.0,97.109
50.5,97.213
51.0,97.315
51.5,97.414
52.0,97.51
52.5,97.603
53.0,97.693
53.5,97.78
54.0,97.865
54.5,97.947
55.0,98.027
55.5,98.104
56.0,98.179
56.5,98.252
57.0,98.323
57.5,98.392
58.0,98.459
58.5,98.525
59.0,98.588
59.5,98.649
60.0,98.708
60.5,98.765
61.0,98.821
61.5,98.875
62.0,98.928
62.5,98.979
63.0,99.028
63.5,99.077
64.0,99.124
64.5,99.169
65.0,99.214
65.5,99.257
66.0,99.298
66.5,99.337
67.0,99.375
67.5,99.412
68.0,99.447
68.5,99.48
69.0,99.512
69.5,99.543
70.0,99.573
70.5,99.601
71.0,99.628
71.5,99.655
72.0,99.68
72.5,99.704
73.0,99.726
73.5,99.748
74.0,99.768
74.5,99.788
75.0,99.806
75.5,99.824
76.0,99.84
76.5,99.856
77.0,99.871
77.5,99.884
78.0,99.897
78.5,99.91
79.0,99.921
79.5,99.931
80.0,99.941
80.5,99.95
81.0,99.959
81.5,99.966
82.0,99.973
82.5,99.979
83.0,99.985
83.5,99.989
84.0,99.993
84.5,99.997
85.0,99.999
85.5,100.0
86.0,100.0
86.5,100.0
87.0,100.0
87.5,100.0
88.0,100.0
88.5,100.0
89.0,100.0
89.5,100.0
90.0,100.0
90.5,100.0
91.0,100.0
91.5,100.0
92.0,100.0
92.5,100.0
93.0,100.0
93.5,100.0
94.0,100.0
94.5,100.0
95.0,100.0
95.5,100.0
96.0,100.0
96.5,100.0
97.0,100.0
97.5,100.0
98.0,100.0
98.5,100.0
99.0,100.0
99.5,100.0
100.0,100.0
