bin_start_usd,bin_end_usd,pct_population
0,1250,45.97
1250,2500,12.641
2500,3750,7.823
3750,5000,5.52
5000,6250,3.911
6250,7500,3.031
7500,8750,2.33
8750,10000,1.852
10000,11250,1.47
11250,12500,1.246
12500,13750,1.043
13750,15000,1.037
15000,16250,0.776
16250,17500,0.745
17500,18750,0.833
18750,20000,0.671
20000,21250,0.537
21250,22500,0.509
22500,23750,0.423
23750,25000,0.403
25000,26250,0.414
26250,27500,0.211
27500,28750,0.375
28750,30000,0.331
30000,31250,0.346
31250,32500,0.279
32500,33750,0.236
33750,35000,0.229
35000,36250,0.203
36250,37500,0.195
37500,38750,0.231
38750,40000,0.161
40000,41250,0.172
41250,42500,0.171
42500,43750,0.13
43750,45000,0.136
45000,46250,0.142
46250,47500,0.134
47500,48750,0.083
48750,50000,3.048
