chronic_band,limit_band,n_members,pop_millions,median_usd,mean_usd,pct_over_20k,pct_over_20k_ci_low,pct_over_20k_ci_high,suppressed
0,0,3663,73.39,366.0,2255.0,2.1,1.5,2.6,0
0,1,24,,,,,,,1
0,2+,4,,,,,,,1
1,0,5557,112.88,895.0,3756.0,3.5,3.0,4.1,0
1,1,114,2.25,2540.0,8202.0,10.2,3.9,17.6,0
1,2+,93,1.91,4490.0,14272.0,22.5,13.0,32.9,0
2,0,2649,48.41,1972.0,6697.0,7.4,6.3,8.7,0
2,1,163,3.05,3718.0,10262.0,11.9,6.5,18.1,0
2,2+,195,3.53,6327.0,21422.0,28.7,21.0,36.7,0
3,0,1604,26.45,3141.0,8748.0,10.6,8.9,12.5,0
3,1,222,3.35,5948.0,15357.0,18.7,13.2,25.0,0
3,2+,237,3.51,8977.0,21669.0,31.5,24.0,39.2,0
4-5,0,1495,22.74,5642.0,13461.0,17.0,14.8,19.4,0
4-5,1,535,7.17,7427.0,17443.0,21.7,17.7,25.7,0
4-5,2+,664,8.77,10733.0,20809.0,32.7,28.6,37.0,0
6+,0,298,4.36,10938.0,21042.0,26.9,21.2,32.5,0
6+,1,334,4.43,15285.0,28213.0,38.2,32.2,44.2,0
6+,2+,612,7.88,17578.0,31294.0,45.8,41.2,50.7,0
